File Number,Measurement Increment,Data,Marker,Measurement Time,Latitude,Longitude,Instrument Number,Measurement Area Number,Operator,Direction,Line Distance,Point Distance,Harmonic,Mode,Preset Field,Sampling Interval
8,1,37200.137,0,2025-03-14 13:14:55,17.1815,20.93402777777778,1,4,1,270,10,10,Lock,Manual,37100,10
8,2,37545.285,0,2025-03-14 13:15:22,17.181472222222222,20.93391666666667,1,4,1,270,10,10,Lock,Manual,37100,10
8,3,37189.957,0,2025-03-14 13:15:44,17.181444444444445,20.933805555555555,1,4,1,270,10,10,Lock,Manual,37100,10
8,4,37191.953,0,2025-03-14 13:16:09,17.181444444444445,20.933694444444445,1,4,1,270,10,10,Lock,Manual,37100,10
8,5,37199.645,0,2025-03-14 13:16:31,17.181416666666667,20.933611111111112,1,4,1,270,10,10,Lock,Manual,37100,10
8,6,37198.008,0,2025-03-14 13:16:54,17.181416666666667,20.9335,1,4,1,270,10,10,Lock,Manual,37100,10
8,7,37198.172,0,2025-03-14 13:17:16,17.181416666666667,20.933416666666666,1,4,1,270,10,10,Lock,Manual,37100,10
8,8,37198.379,0,2025-03-14 13:17:38,17.181416666666667,20.933305555555556,1,4,1,270,10,10,Lock,Manual,37100,10
8,9,37197.77,0,2025-03-14 13:18:01,17.181416666666667,20.933194444444446,1,4,1,270,10,10,Lock,Manual,37100,10
8,10,37218.043,0,2025-03-14 13:18:27,17.181472222222222,20.933111111111113,1,4,1,270,10,10,Lock,Manual,37100,10
8,11,37176.73,0,2025-03-14 13:18:50,17.181472222222222,20.933027777777777,1,4,1,270,10,10,Lock,Manual,37100,10
8,12,37203.25,0,2025-03-14 13:19:17,17.1815,20.932916666666667,1,4,1,270,10,10,Lock,Manual,37100,10
8,13,37202.523,0,2025-03-14 13:19:42,17.181472222222222,20.932861111111112,1,4,1,270,10,10,Lock,Manual,37100,10
8,14,37201.023,0,2025-03-14 13:20:03,17.181472222222222,20.93277777777778,1,4,1,270,10,10,Lock,Manual,37100,10
8,15,37199.398,0,2025-03-14 13:20:27,17.181472222222222,20.932694444444447,1,4,1,270,10,10,Lock,Manual,37100,10
8,16,37197.41,0,2025-03-14 13:20:50,17.181472222222222,20.932583333333334,1,4,1,270,10,10,Lock,Manual,37100,10
8,17,37199.418,0,2025-03-14 13:21:13,17.181472222222222,20.9325,1,4,1,270,10,10,Lock,Manual,37100,10
8,18,37554.789,0,2025-03-14 13:21:36,17.181472222222222,20.93238888888889,1,4,1,270,10,10,Lock,Manual,37100,10
8,19,37206.328,0,2025-03-14 13:21:59,17.181472222222222,20.932333333333336,1,4,1,270,10,10,Lock,Manual,37100,10
8,20,37319.484,0,2025-03-14 13:22:25,17.1815,20.932222222222222,1,4,1,270,10,10,Lock,Manual,37100,10
8,21,37437.305,0,2025-03-14 13:22:49,17.181472222222222,20.932111111111112,1,4,1,270,10,10,Lock,Manual,37100,10
8,22,37199.203,0,2025-03-14 13:23:10,17.181472222222222,20.93202777777778,1,4,1,270,10,10,Lock,Manual,37100,10
8,23,37206.574,0,2025-03-14 13:23:33,17.181444444444445,20.931944444444447,1,4,1,270,10,10,Lock,Manual,37100,10
8,24,37316.172,0,2025-03-14 13:23:54,17.181472222222222,20.93188888888889,1,4,1,270,10,10,Lock,Manual,37100,10
8,25,37188.055,0,2025-03-14 13:24:22,17.181472222222222,20.93177777777778,1,4,1,270,10,10,Lock,Manual,37100,10
8,26,37309.574,0,2025-03-14 13:24:44,17.181472222222222,20.93166666666667,1,4,1,270,10,10,Lock,Manual,37100,10
8,27,37560.344,0,2025-03-14 13:25:07,17.181472222222222,20.93155555555556,1,4,1,270,10,10,Lock,Manual,37100,10
8,28,37198.961,0,2025-03-14 13:25:26,17.181472222222222,20.931472222222222,1,4,1,270,10,10,Lock,Manual,37100,10
8,29,37431.988,0,2025-03-14 13:25:46,17.181472222222222,20.931361111111112,1,4,1,270,10,10,Lock,Manual,37100,10
8,30,37561.113,0,2025-03-14 13:26:05,17.181472222222222,20.93127777777778,1,4,1,270,10,10,Lock,Manual,37100,10
8,31,37197.824,0,2025-03-14 13:26:24,17.181472222222222,20.93116666666667,1,4,1,270,10,10,Lock,Manual,37100,10
8,32,37197.082,0,2025-03-14 13:26:45,17.181444444444445,20.931083333333333,1,4,1,270,10,10,Lock,Manual,37100,10
8,33,37203.02,0,2025-03-14 13:27:07,17.181444444444445,20.930972222222223,1,4,1,270,10,10,Lock,Manual,37100,10
8,34,37447.383,0,2025-03-14 13:27:26,17.181444444444445,20.930861111111113,1,4,1,270,10,10,Lock,Manual,37100,10
8,35,37201.758,0,2025-03-14 13:27:50,17.181444444444445,20.93075,1,4,1,270,10,10,Lock,Manual,37100,10
8,36,37189.195,0,2025-03-14 13:28:49,17.181250000000002,20.93088888888889,1,4,1,90,10,10,Lock,Manual,37100,10
8,37,37188.414,0,2025-03-14 13:29:13,17.181250000000002,20.931,1,4,1,90,10,10,Lock,Manual,37100,10
8,38,37193.875,0,2025-03-14 13:29:33,17.18127777777778,20.93111111111111,1,4,1,90,10,10,Lock,Manual,37100,10
8,39,37194.203,0,2025-03-14 13:29:53,17.181250000000002,20.931222222222225,1,4,1,90,10,10,Lock,Manual,37100,10
8,40,37195.191,0,2025-03-14 13:30:14,17.181250000000002,20.931305555555557,1,4,1,90,10,10,Lock,Manual,37100,10
8,41,37200.32,0,2025-03-14 13:30:35,17.181250000000002,20.93138888888889,1,4,1,90,10,10,Lock,Manual,37100,10
8,42,37429.633,0,2025-03-14 13:30:55,17.181222222222225,20.931472222222222,1,4,1,90,10,10,Lock,Manual,37100,10
8,43,37202.43,0,2025-03-14 13:31:17,17.181222222222225,20.931583333333336,1,4,1,90,10,10,Lock,Manual,37100,10
8,44,37202.609,0,2025-03-14 13:31:37,17.181250000000002,20.93166666666667,1,4,1,90,10,10,Lock,Manual,37100,10
8,45,37204.586,0,2025-03-14 13:31:58,17.181250000000002,20.93175,1,4,1,90,10,10,Lock,Manual,37100,10
8,46,37210.43,0,2025-03-14 13:32:17,17.181250000000002,20.93186111111111,1,4,1,90,10,10,Lock,Manual,37100,10
8,47,37212.383,0,2025-03-14 13:32:37,17.18127777777778,20.931944444444447,1,4,1,90,10,10,Lock,Manual,37100,10
8,48,37210.617,0,2025-03-14 13:33:04,17.18127777777778,20.93202777777778,1,4,1,90,10,10,Lock,Manual,37100,10
