文件号	测点增量	数据	标记	测量时间	坐标纬度	坐标经度	仪器号	测区号	操作员	方向	线距	点距	配谐	模式	预置场	采样间隔
0008	1	38221.277	0	2025-02-25 17:55:28	LA<N>: 17/2/12.1	LO<E>: 20/56/19.5	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	2	38295.988	0	2025-02-25 17:55:47	LA<N>: 17/2/12.1	LO<E>: 20/56/19.5	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	3	37167.430	0	2025-02-25 17:56:00	LA<N>: 17/2/12.1	LO<E>: 20/56/19.5	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	4	37060.246	0	2025-02-25 17:56:15	LA<N>: 17/2/12.9	LO<E>: 20/56/20.1	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	5	37732.598	0	2025-02-25 17:56:28	LA<N>: 17/2/12.9	LO<E>: 20/56/20.0	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	6	37722.961	0	2025-02-25 17:56:43	LA<N>: 17/2/12.9	LO<E>: 20/56/20.0	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	7	37457.402	0	2025-02-25 17:56:57	LA<N>: 17/2/13.1	LO<E>: 20/56/19.8	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	8	37699.953	0	2025-02-25 17:57:12	LA<N>: 17/2/13.3	LO<E>: 20/56/20.0	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	9	37247.160	0	2025-02-25 17:57:26	LA<N>: 17/2/13.3	LO<E>: 20/56/20.0	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	10	37398.117	0	2025-02-25 17:57:41	LA<N>: 17/2/13.3	LO<E>: 20/56/20.0	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	11	37166.789	0	2025-02-25 17:57:57	LA<N>: 17/2/13.3	LO<E>: 20/56/20.0	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	12	37084.078	0	2025-02-25 17:58:10	LA<N>: 17/2/14.0	LO<E>: 20/56/20.3	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	13	37366.188	0	2025-02-25 17:58:23	LA<N>: 17/2/14.1	LO<E>: 20/56/20.3	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	14	37239.145	0	2025-02-25 17:58:44	LA<N>: 17/2/14.2	LO<E>: 20/56/20.5	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	15	37414.309	0	2025-02-25 17:58:57	LA<N>: 17/2/14.1	LO<E>: 20/56/21.7	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	16	37411.859	0	2025-02-25 17:59:10	LA<N>: 17/2/14.6	LO<E>: 20/56/20.6	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	17	37305.441	0	2025-02-25 17:59:23	LA<N>: 17/2/14.7	LO<E>: 20/56/20.7	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	18	37052.422	0	2025-02-25 17:59:37	LA<N>: 17/2/14.8	LO<E>: 20/56/21.0	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	19	37298.566	0	2025-02-25 17:59:52	LA<N>: 17/2/14.9	LO<E>: 20/56/21.3	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	20	36989.473	0	2025-02-25 18:00:13	LA<N>: 17/2/15.2	LO<E>: 20/56/20.7	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	21	37053.609	0	2025-02-25 18:00:27	LA<N>: 17/2/15.7	LO<E>: 20/56/20.9	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	22	37299.797	0	2025-02-25 18:00:43	LA<N>: 17/2/15.5	LO<E>: 20/56/21.0	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	23	36971.859	0	2025-02-25 18:00:57	LA<N>: 17/2/15.4	LO<E>: 20/56/20.7	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	24	37428.430	0	2025-02-25 18:01:12	LA<N>: 17/2/15.4	LO<E>: 20/56/20.7	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	25	37516.137	0	2025-02-25 18:01:24	LA<N>: 17/2/15.7	LO<E>: 20/56/21.1	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	26	37595.727	0	2025-02-25 18:01:40	LA<N>: 17/2/15.9	LO<E>: 20/56/21.2	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	27	38127.656	0	2025-02-25 18:01:59	LA<N>: 17/2/15.5	LO<E>: 20/56/20.9	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	28	37284.324	0	2025-02-25 18:02:15	LA<N>: 17/2/15.9	LO<E>: 20/56/21.3	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	29	37213.629	0	2025-02-25 18:02:29	LA<N>: 17/2/16.1	LO<E>: 20/56/21.4	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	30	36976.109	0	2025-02-25 18:02:43	LA<N>: 17/2/16.6	LO<E>: 20/56/21.4	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	31	37653.266	0	2025-02-25 18:02:58	LA<N>: 17/2/16.7	LO<E>: 20/56/21.5	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	32	37067.520	0	2025-02-25 18:03:12	LA<N>: 17/2/16.9	LO<E>: 20/56/21.6	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	33	37091.844	0	2025-02-25 18:03:33	LA<N>: 17/2/16.9	LO<E>: 20/56/21.6	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
0008	34	37238.531	0	2025-02-25 18:03:45	LA<N>: 17/2/17.0	LO<E>: 20/56/21.6	0001	0002	0001	236	0010	0010	Lock	Manual	037100	010
